city,dates,host_team,match_id,player_of_match,result,season,toss_decision,toss_winner,venue,visiting_team,winner
Bangalore,2013-04-16,Royal Challengers Bangalore,343.0,V Kohli,2,2013,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore
Pune,2013-04-17,Pune Warriors,344.0,A Mishra,1,2013,field,Pune Warriors,Subrata Roy Sahara Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad
Jaipur,2013-04-17,Rajasthan Royals,345.0,AM Rahane,1,2013,bat,Rajasthan Royals,Sawai Mansingh Stadium,Mumbai Indians,Rajasthan Royals
Delhi,2013-04-18,Delhi Daredevils,346.0,MEK Hussey,1,2013,bat,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,Chennai Super Kings
Hyderabad,2013-04-19,Sunrisers Hyderabad,347.0,GH Vihari,1,2013,bat,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,Sunrisers Hyderabad
Bangalore,2013-04-20,Royal Challengers Bangalore,348.0,R Vinay Kumar,1,2013,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Rajasthan Royals,Royal Challengers Bangalore
Kolkata,2013-04-20,Kolkata Knight Riders,349.0,RA Jadeja,1,2013,bat,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,Chennai Super Kings
Delhi,2013-04-21,Delhi Daredevils,350.0,V Sehwag,1,2013,bat,Mumbai Indians,Feroz Shah Kotla,Mumbai Indians,Delhi Daredevils
Chandigarh,2013-04-21,Kings XI Punjab,351.0,DA Miller,1,2013,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Pune Warriors,Kings XI Punjab
Chennai,2013-04-22,Chennai Super Kings,352.0,MEK Hussey,1,2013,bat,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings
Delhi,2013-04-23,Delhi Daredevils,353.0,Harmeet Singh,1,2013,field,Kings XI Punjab,Feroz Shah Kotla,Kings XI Punjab,Kings XI Punjab
Bangalore,2013-04-23,Royal Challengers Bangalore,354.0,CH Gayle,1,2013,field,Pune Warriors,M Chinnaswamy Stadium,Pune Warriors,Royal Challengers Bangalore
Kolkata,2013-04-24,Kolkata Knight Riders,355.0,DR Smith,1,2013,bat,Kolkata Knight Riders,Eden Gardens,Mumbai Indians,Mumbai Indians
Chennai,2013-04-25,Chennai Super Kings,356.0,MS Dhoni,1,2013,bat,Sunrisers Hyderabad,"MA Chidambaram Stadium, Chepauk",Sunrisers Hyderabad,Chennai Super Kings
Kolkata,2013-04-26,Kolkata Knight Riders,357.0,JH Kallis,1,2013,bat,Kings XI Punjab,Eden Gardens,Kings XI Punjab,Kolkata Knight Riders
Jaipur,2013-04-27,Rajasthan Royals,358.0,JP Faulkner,1,2013,bat,Sunrisers Hyderabad,Sawai Mansingh Stadium,Sunrisers Hyderabad,Rajasthan Royals
Mumbai,2013-04-27,Mumbai Indians,359.0,DR Smith,1,2013,bat,Mumbai Indians,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians
Raipur,2013-04-28,Delhi Daredevils,360.0,DA Warner,1,2013,field,Pune Warriors,Shaheed Veer Narayan Singh International Stadium,Pune Warriors,Delhi Daredevils
Chennai,2013-04-28,Chennai Super Kings,361.0,MEK Hussey,1,2013,field,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,Chennai Super Kings
Mumbai,2013-04-29,Mumbai Indians,362.0,RG Sharma,1,2013,bat,Mumbai Indians,Wankhede Stadium,Kings XI Punjab,Mumbai Indians
Jaipur,2013-04-29,Rajasthan Royals,363.0,SV Samson,1,2013,field,Rajasthan Royals,Sawai Mansingh Stadium,Royal Challengers Bangalore,Rajasthan Royals
Pune,2013-04-30,Pune Warriors,364.0,MS Dhoni,1,2013,bat,Chennai Super Kings,Subrata Roy Sahara Stadium,Chennai Super Kings,Chennai Super Kings
Raipur,2013-05-01,Delhi Daredevils,365.0,DA Warner,1,2013,bat,Kolkata Knight Riders,Shaheed Veer Narayan Singh International Stadium,Kolkata Knight Riders,Delhi Daredevils
Hyderabad,2013-05-01,Sunrisers Hyderabad,366.0,I Sharma,1,2013,bat,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Sunrisers Hyderabad
Chennai,2013-05-02,Chennai Super Kings,367.0,SK Raina,1,2013,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,Chennai Super Kings
Pune,2013-05-02,Pune Warriors,368.0,AB de Villiers,1,2013,bat,Royal Challengers Bangalore,Subrata Roy Sahara Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore
Kolkata,2013-05-03,Kolkata Knight Riders,369.0,YK Pathan,1,2013,bat,Rajasthan Royals,Eden Gardens,Rajasthan Royals,Kolkata Knight Riders
Hyderabad,2013-05-04,Sunrisers Hyderabad,370.0,DJG Sammy,1,2013,bat,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Delhi Daredevils,Sunrisers Hyderabad
Mumbai,2013-05-05,Mumbai Indians,371.0,MG Johnson,1,2013,bat,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,Mumbai Indians
Jaipur,2013-05-05,Rajasthan Royals,372.0,AM Rahane,1,2013,bat,Pune Warriors,Sawai Mansingh Stadium,Pune Warriors,Rajasthan Royals
Chandigarh,2013-05-06,Kings XI Punjab,373.0,DA Miller,1,2013,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,Kings XI Punjab
Jaipur,2013-05-07,Rajasthan Royals,374.0,AM Rahane,1,2013,bat,Delhi Daredevils,Sawai Mansingh Stadium,Delhi Daredevils,Rajasthan Royals
Mumbai,2013-05-07,Mumbai Indians,375.0,SR Tendulkar,1,2013,bat,Mumbai Indians,Wankhede Stadium,Kolkata Knight Riders,Mumbai Indians
Hyderabad,2013-05-08,Sunrisers Hyderabad,376.0,SK Raina,1,2013,field,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,Chennai Super Kings
Chandigarh,2013-05-09,Kings XI Punjab,377.0,KK Cooper,1,2013,field,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Rajasthan Royals
Pune,2013-05-09,Pune Warriors,378.0,G Gambhir,1,2013,bat,Kolkata Knight Riders,Subrata Roy Sahara Stadium,Kolkata Knight Riders,Kolkata Knight Riders
Delhi,2013-05-10,Delhi Daredevils,379.0,JD Unadkat,1,2013,field,Delhi Daredevils,Feroz Shah Kotla,Royal Challengers Bangalore,Royal Challengers Bangalore
Pune,2013-05-11,Pune Warriors,380.0,MG Johnson,1,2013,bat,Pune Warriors,Subrata Roy Sahara Stadium,Mumbai Indians,Mumbai Indians
Chandigarh,2013-05-11,Kings XI Punjab,381.0,PA Patel,1,2013,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,Sunrisers Hyderabad
Jaipur,2013-05-12,Rajasthan Royals,382.0,SR Watson,1,2013,field,Rajasthan Royals,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals
Ranchi,2013-05-12,Kolkata Knight Riders,383.0,JH Kallis,1,2013,field,Kolkata Knight Riders,JSCA International Stadium Complex,Royal Challengers Bangalore,Kolkata Knight Riders
Mumbai,2013-05-13,Mumbai Indians,384.0,KA Pollard,1,2013,bat,Sunrisers Hyderabad,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
Bangalore,2013-05-14,Royal Challengers Bangalore,385.0,AC Gilchrist,1,2013,field,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,Kings XI Punjab
Chennai,2013-05-14,Chennai Super Kings,386.0,MS Dhoni,1,2013,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,Chennai Super Kings
Mumbai,2013-05-15,Mumbai Indians,387.0,AP Tare,1,2013,field,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,Mumbai Indians
Ranchi,2013-05-15,Kolkata Knight Riders,388.0,MK Pandey,1,2013,field,Kolkata Knight Riders,JSCA International Stadium Complex,Pune Warriors,Pune Warriors
Dharamsala,2013-05-16,Kings XI Punjab,389.0,DA Miller,1,2013,field,Delhi Daredevils,Himachal Pradesh Cricket Association Stadium,Delhi Daredevils,Kings XI Punjab
Hyderabad,2013-05-17,Sunrisers Hyderabad,390.0,A Mishra,1,2013,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,Sunrisers Hyderabad
Bangalore,2013-05-18,Royal Challengers Bangalore,391.0,V Kohli,1,2013,field,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore
Dharamsala,2013-05-18,Kings XI Punjab,392.0,Azhar Mahmood,1,2013,field,Mumbai Indians,Himachal Pradesh Cricket Association Stadium,Mumbai Indians,Kings XI Punjab
Pune,2013-05-19,Pune Warriors,393.0,LJ Wright,1,2013,bat,Pune Warriors,Subrata Roy Sahara Stadium,Delhi Daredevils,Pune Warriors
Hyderabad,2013-05-19,Sunrisers Hyderabad,394.0,PA Patel,1,2013,bat,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,Sunrisers Hyderabad
Delhi,2013-05-21,Chennai Super Kings,395.0,MEK Hussey,1,2013,bat,Chennai Super Kings,Feroz Shah Kotla,Mumbai Indians,Chennai Super Kings
Delhi,2013-05-22,Rajasthan Royals,396.0,BJ Hodge,1,2013,bat,Sunrisers Hyderabad,Feroz Shah Kotla,Sunrisers Hyderabad,Rajasthan Royals
Kolkata,2013-05-24,Mumbai Indians,397.0,Harbhajan Singh,1,2013,bat,Rajasthan Royals,Eden Gardens,Rajasthan Royals,Mumbai Indians
Kolkata,2013-05-26,Chennai Super Kings,398.0,KA Pollard,1,2013,bat,Mumbai Indians,Eden Gardens,Mumbai Indians,Mumbai Indians
Abu Dhabi,2014-04-16,Mumbai Indians,399.0,JH Kallis,1,2014,bat,Kolkata Knight Riders,Sheikh Zayed Stadium,Kolkata Knight Riders,Kolkata Knight Riders
,2014-04-17,Delhi Daredevils,400.0,YS Chahal,1,2014,field,Royal Challengers Bangalore,Sharjah Cricket Stadium,Royal Challengers Bangalore,Royal Challengers Bangalore
Abu Dhabi,2014-04-18,Chennai Super Kings,401.0,GJ Maxwell,1,2014,bat,Chennai Super Kings,Sheikh Zayed Stadium,Kings XI Punjab,Kings XI Punjab
Abu Dhabi,2014-04-18,Sunrisers Hyderabad,402.0,AM Rahane,1,2014,field,Rajasthan Royals,Sheikh Zayed Stadium,Rajasthan Royals,Rajasthan Royals
,2014-04-19,Kolkata Knight Riders,403.0,JP Duminy,1,2014,bat,Kolkata Knight Riders,Dubai International Cricket Stadium,Delhi Daredevils,Delhi Daredevils
,2014-04-19,Royal Challengers Bangalore,404.0,PA Patel,1,2014,field,Royal Challengers Bangalore,Dubai International Cricket Stadium,Mumbai Indians,Royal Challengers Bangalore
,2014-04-20,Rajasthan Royals,405.0,GJ Maxwell,1,2014,field,Kings XI Punjab,Sharjah Cricket Stadium,Kings XI Punjab,Kings XI Punjab
Abu Dhabi,2014-04-21,Chennai Super Kings,406.0,SK Raina,1,2014,bat,Chennai Super Kings,Sheikh Zayed Stadium,Delhi Daredevils,Chennai Super Kings
,2014-04-22,Kings XI Punjab,407.0,GJ Maxwell,1,2014,field,Sunrisers Hyderabad,Sharjah Cricket Stadium,Sunrisers Hyderabad,Kings XI Punjab
,2014-04-23,Rajasthan Royals,408.0,RA Jadeja,1,2014,field,Rajasthan Royals,Dubai International Cricket Stadium,Chennai Super Kings,Chennai Super Kings
,2014-04-24,Royal Challengers Bangalore,409.0,CA Lynn,1,2014,field,Royal Challengers Bangalore,Sharjah Cricket Stadium,Kolkata Knight Riders,Kolkata Knight Riders
,2014-04-25,Chennai Super Kings,410.0,MM Sharma,1,2014,bat,Mumbai Indians,Dubai International Cricket Stadium,Mumbai Indians,Chennai Super Kings
,2014-04-25,Sunrisers Hyderabad,411.0,AJ Finch,1,2014,bat,Sunrisers Hyderabad,Dubai International Cricket Stadium,Delhi Daredevils,Sunrisers Hyderabad
Abu Dhabi,2014-04-26,Kolkata Knight Riders,412.0,Sandeep Sharma,1,2014,field,Kolkata Knight Riders,Sheikh Zayed Stadium,Kings XI Punjab,Kings XI Punjab
Abu Dhabi,2014-04-26,Rajasthan Royals,413.0,PV Tambe,1,2014,field,Rajasthan Royals,Sheikh Zayed Stadium,Royal Challengers Bangalore,Rajasthan Royals
,2014-04-27,Delhi Daredevils,414.0,M Vijay,1,2014,bat,Mumbai Indians,Sharjah Cricket Stadium,Mumbai Indians,Delhi Daredevils
,2014-04-27,Sunrisers Hyderabad,415.0,DR Smith,1,2014,bat,Sunrisers Hyderabad,Sharjah Cricket Stadium,Chennai Super Kings,Chennai Super Kings
,2014-04-28,Kings XI Punjab,416.0,Sandeep Sharma,1,2014,field,Kings XI Punjab,Dubai International Cricket Stadium,Royal Challengers Bangalore,Kings XI Punjab
Abu Dhabi,2014-04-29,Kolkata Knight Riders,417.0,JP Faulkner,2,2014,bat,Rajasthan Royals,Sheikh Zayed Stadium,Rajasthan Royals,Rajasthan Royals
,2014-04-30,Mumbai Indians,418.0,B Kumar,1,2014,field,Mumbai Indians,Dubai International Cricket Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad
Ranchi,2014-05-02,Chennai Super Kings,419.0,RA Jadeja,1,2014,bat,Chennai Super Kings,JSCA International Stadium Complex,Kolkata Knight Riders,Chennai Super Kings
Mumbai,2014-05-03,Mumbai Indians,420.0,CJ Anderson,1,2014,bat,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab,Mumbai Indians
Delhi,2014-05-03,Delhi Daredevils,421.0,KK Nair,1,2014,field,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,Rajasthan Royals
Bangalore,2014-05-04,Royal Challengers Bangalore,422.0,AB de Villiers,1,2014,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Sunrisers Hyderabad,Royal Challengers Bangalore
Delhi,2014-05-05,Delhi Daredevils,423.0,DR Smith,1,2014,field,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,Chennai Super Kings
Ahmedabad,2014-05-05,Rajasthan Royals,424.0,PV Tambe,1,2014,field,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",Kolkata Knight Riders,Rajasthan Royals
Mumbai,2014-05-06,Mumbai Indians,425.0,RG Sharma,1,2014,field,Royal Challengers Bangalore,Wankhede Stadium,Royal Challengers Bangalore,Mumbai Indians
Delhi,2014-05-07,Delhi Daredevils,426.0,G Gambhir,1,2014,bat,Delhi Daredevils,Feroz Shah Kotla,Kolkata Knight Riders,Kolkata Knight Riders
Cuttack,2014-05-07,Kings XI Punjab,427.0,GJ Maxwell,1,2014,field,Chennai Super Kings,Barabati Stadium,Chennai Super Kings,Kings XI Punjab
Ahmedabad,2014-05-08,Rajasthan Royals,428.0,B Kumar,1,2014,field,Rajasthan Royals,"Sardar Patel Stadium, Motera",Sunrisers Hyderabad,Sunrisers Hyderabad
Bangalore,2014-05-09,Royal Challengers Bangalore,429.0,Sandeep Sharma,1,2014,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kings XI Punjab,Kings XI Punjab
Mumbai,2014-05-10,Mumbai Indians,430.0,DR Smith,1,2014,field,Chennai Super Kings,Wankhede Stadium,Chennai Super Kings,Chennai Super Kings
Delhi,2014-05-10,Delhi Daredevils,431.0,DW Steyn,1,2014,field,Sunrisers Hyderabad,Feroz Shah Kotla,Sunrisers Hyderabad,Sunrisers Hyderabad
Bangalore,2014-05-11,Royal Challengers Bangalore,432.0,JP Faulkner,1,2014,bat,Royal Challengers Bangalore,M Chinnaswamy Stadium,Rajasthan Royals,Rajasthan Royals
Cuttack,2014-05-11,Kings XI Punjab,433.0,G Gambhir,1,2014,field,Kolkata Knight Riders,Barabati Stadium,Kolkata Knight Riders,Kolkata Knight Riders
Hyderabad,2014-05-12,Sunrisers Hyderabad,434.0,AT Rayudu,1,2014,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Mumbai Indians,Mumbai Indians
Ranchi,2014-05-13,Chennai Super Kings,435.0,RA Jadeja,1,2014,bat,Rajasthan Royals,JSCA International Stadium Complex,Rajasthan Royals,Chennai Super Kings
Bangalore,2014-05-13,Royal Challengers Bangalore,436.0,Yuvraj Singh,1,2014,field,Delhi Daredevils,M Chinnaswamy Stadium,Delhi Daredevils,Royal Challengers Bangalore
Cuttack,2014-05-14,Kolkata Knight Riders,437.0,RV Uthappa,1,2014,field,Kolkata Knight Riders,Barabati Stadium,Mumbai Indians,Kolkata Knight Riders
Hyderabad,2014-05-14,Sunrisers Hyderabad,438.0,WP Saha,1,2014,field,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,Kings XI Punjab
Ahmedabad,2014-05-15,Rajasthan Royals,439.0,AM Rahane,1,2014,field,Delhi Daredevils,"Sardar Patel Stadium, Motera",Delhi Daredevils,Rajasthan Royals
Hyderabad,2014-05-18,Sunrisers Hyderabad,440.0,UT Yadav,1,2014,bat,Sunrisers Hyderabad,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,Kolkata Knight Riders
Ranchi,2014-05-18,Chennai Super Kings,441.0,AB de Villiers,1,2014,bat,Chennai Super Kings,JSCA International Stadium Complex,Royal Challengers Bangalore,Royal Challengers Bangalore
Delhi,2014-05-19,Delhi Daredevils,442.0,AR Patel,1,2014,field,Kings XI Punjab,Feroz Shah Kotla,Kings XI Punjab,Kings XI Punjab
Ahmedabad,2014-05-19,Rajasthan Royals,443.0,MEK Hussey,1,2014,bat,Mumbai Indians,"Sardar Patel Stadium, Motera",Mumbai Indians,Mumbai Indians
Hyderabad,2014-05-20,Sunrisers Hyderabad,444.0,DA Warner,1,2014,bat,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Royal Challengers Bangalore,Sunrisers Hyderabad
Kolkata,2014-05-20,Kolkata Knight Riders,445.0,RV Uthappa,1,2014,field,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders
Chandigarh,2014-05-21,Kings XI Punjab,446.0,LMP Simmons,1,2014,field,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Mumbai Indians
Ranchi,2014-05-22,Chennai Super Kings,447.0,DA Warner,1,2014,field,Sunrisers Hyderabad,JSCA International Stadium Complex,Sunrisers Hyderabad,Sunrisers Hyderabad
Kolkata,2014-05-22,Kolkata Knight Riders,448.0,RV Uthappa,1,2014,field,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,Kolkata Knight Riders
Mumbai,2014-05-23,Mumbai Indians,449.0,MEK Hussey,1,2014,field,Delhi Daredevils,Wankhede Stadium,Delhi Daredevils,Mumbai Indians
Chandigarh,2014-05-23,Kings XI Punjab,450.0,SE Marsh,1,2014,field,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Kings XI Punjab
Bangalore,2014-05-24,Royal Challengers Bangalore,451.0,MS Dhoni,1,2014,field,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,Chennai Super Kings
Kolkata,2014-05-24,Kolkata Knight Riders,452.0,YK Pathan,1,2014,field,Kolkata Knight Riders,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders
Mumbai,2014-05-25,Mumbai Indians,453.0,CJ Anderson,1,2014,field,Mumbai Indians,Wankhede Stadium,Rajasthan Royals,Mumbai Indians
Chandigarh,2014-05-25,Kings XI Punjab,454.0,M Vohra,1,2014,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,Kings XI Punjab
Kolkata,2014-05-27,Kings XI Punjab,455.0,UT Yadav,1,2014,field,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,Kolkata Knight Riders
Mumbai,2014-05-28,Chennai Super Kings,456.0,SK Raina,1,2014,field,Chennai Super Kings,Brabourne Stadium,Mumbai Indians,Chennai Super Kings
Mumbai,2014-05-30,Chennai Super Kings,457.0,V Sehwag,1,2014,field,Chennai Super Kings,Wankhede Stadium,Kings XI Punjab,Kings XI Punjab
Bangalore,2014-06-01,Kolkata Knight Riders,458.0,MK Pandey,1,2014,field,Kolkata Knight Riders,M Chinnaswamy Stadium,Kings XI Punjab,Kolkata Knight Riders
Pune,2015-04-18,Kings XI Punjab,459.0,AD Russell,1,2015,field,Kolkata Knight Riders,Maharashtra Cricket Association Stadium,Kolkata Knight Riders,Kolkata Knight Riders
Ahmedabad,2015-04-19,Rajasthan Royals,460.0,AM Rahane,1,2015,bat,Chennai Super Kings,"Sardar Patel Stadium, Motera",Chennai Super Kings,Rajasthan Royals
Bangalore,2015-04-19,Royal Challengers Bangalore,461.0,Harbhajan Singh,1,2015,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Mumbai Indians,Mumbai Indians
Delhi,2015-04-20,Delhi Daredevils,462.0,UT Yadav,1,2015,field,Kolkata Knight Riders,Feroz Shah Kotla,Kolkata Knight Riders,Kolkata Knight Riders
Ahmedabad,2015-04-21,Rajasthan Royals,463.0,SE Marsh,2,2015,field,Kings XI Punjab,"Sardar Patel Stadium, Motera",Kings XI Punjab,Kings XI Punjab
Visakhapatnam,2015-04-22,Sunrisers Hyderabad,464.0,DA Warner,1,2015,field,Kolkata Knight Riders,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Kolkata Knight Riders,Sunrisers Hyderabad
Bangalore,2015-04-22,Royal Challengers Bangalore,465.0,SK Raina,1,2015,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Chennai Super Kings,Chennai Super Kings
Delhi,2015-04-23,Delhi Daredevils,466.0,SS Iyer,1,2015,field,Mumbai Indians,Feroz Shah Kotla,Mumbai Indians,Delhi Daredevils
Ahmedabad,2015-04-24,Rajasthan Royals,467.0,MA Starc,1,2015,field,Royal Challengers Bangalore,"Sardar Patel Stadium, Motera",Royal Challengers Bangalore,Royal Challengers Bangalore
Kolkata,2015-04-08,Kolkata Knight Riders,468.0,M Morkel,1,2015,field,Kolkata Knight Riders,Eden Gardens,Mumbai Indians,Kolkata Knight Riders
Chennai,2015-04-09,Chennai Super Kings,469.0,A Nehra,1,2015,field,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Delhi Daredevils,Chennai Super Kings
Pune,2015-04-10,Kings XI Punjab,470.0,JP Faulkner,1,2015,field,Kings XI Punjab,Maharashtra Cricket Association Stadium,Rajasthan Royals,Rajasthan Royals
Kolkata,2015-04-11,Kolkata Knight Riders,471.0,CH Gayle,1,2015,field,Royal Challengers Bangalore,Eden Gardens,Royal Challengers Bangalore,Royal Challengers Bangalore
Chennai,2015-04-11,Chennai Super Kings,472.0,BB McCullum,1,2015,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Sunrisers Hyderabad,Chennai Super Kings
Delhi,2015-04-12,Delhi Daredevils,473.0,DJ Hooda,1,2015,field,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,Rajasthan Royals
Mumbai,2015-04-12,Mumbai Indians,474.0,GJ Bailey,1,2015,field,Mumbai Indians,Wankhede Stadium,Kings XI Punjab,Kings XI Punjab
Bangalore,2015-04-13,Royal Challengers Bangalore,475.0,DA Warner,1,2015,field,Sunrisers Hyderabad,M Chinnaswamy Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad
Ahmedabad,2015-04-14,Rajasthan Royals,476.0,SPD Smith,1,2015,bat,Mumbai Indians,"Sardar Patel Stadium, Motera",Mumbai Indians,Rajasthan Royals
Pune,2015-04-15,Kings XI Punjab,477.0,MA Agarwal,1,2015,bat,Kings XI Punjab,Maharashtra Cricket Association Stadium,Delhi Daredevils,Delhi Daredevils
Visakhapatnam,2015-04-16,Sunrisers Hyderabad,478.0,AM Rahane,1,2015,field,Rajasthan Royals,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Rajasthan Royals,Rajasthan Royals
Mumbai,2015-04-17,Mumbai Indians,479.0,A Nehra,1,2015,bat,Mumbai Indians,Wankhede Stadium,Chennai Super Kings,Chennai Super Kings
Visakhapatnam,2015-04-18,Sunrisers Hyderabad,480.0,JP Duminy,1,2015,bat,Delhi Daredevils,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Delhi Daredevils,Delhi Daredevils
Mumbai,2015-04-25,Mumbai Indians,481.0,SL Malinga,1,2015,bat,Mumbai Indians,Wankhede Stadium,Sunrisers Hyderabad,Mumbai Indians
Chennai,2015-04-25,Chennai Super Kings,482.0,BB McCullum,1,2015,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,Chennai Super Kings
Delhi,2015-04-26,Delhi Daredevils,483.0,VR Aaron,1,2015,field,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,Royal Challengers Bangalore
Chandigarh,2015-04-27,Kings XI Punjab,484.0,TA Boult,1,2015,field,Kings XI Punjab,"Punjab Cricket Association Stadium, Mohali",Sunrisers Hyderabad,Sunrisers Hyderabad
Chennai,2015-04-28,Chennai Super Kings,485.0,DJ Bravo,1,2015,field,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,Chennai Super Kings
Kolkata,2015-04-30,Kolkata Knight Riders,486.0,AD Russell,1,2015,field,Kolkata Knight Riders,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders
Bangalore,2015-04-29,Royal Challengers Bangalore,487.0,,0,2015,field,Rajasthan Royals,M Chinnaswamy Stadium,Rajasthan Royals,no result
Delhi,2015-05-01,Delhi Daredevils,488.0,NM Coulter-Nile,1,2015,field,Delhi Daredevils,Feroz Shah Kotla,Kings XI Punjab,Delhi Daredevils
Mumbai,2015-05-01,Mumbai Indians,489.0,AT Rayudu,1,2015,field,Rajasthan Royals,Wankhede Stadium,Rajasthan Royals,Mumbai Indians
Bangalore,2015-05-02,Royal Challengers Bangalore,490.0,Mandeep Singh,1,2015,field,Royal Challengers Bangalore,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore
Hyderabad,2015-05-02,Sunrisers Hyderabad,491.0,DA Warner,1,2015,field,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Chennai Super Kings,Sunrisers Hyderabad
Chandigarh,2015-05-03,Kings XI Punjab,492.0,LMP Simmons,1,2015,bat,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Mumbai Indians
Mumbai,2015-05-03,Rajasthan Royals,493.0,AM Rahane,1,2015,field,Delhi Daredevils,Brabourne Stadium,Delhi Daredevils,Rajasthan Royals
Chennai,2015-05-04,Chennai Super Kings,494.0,SK Raina,1,2015,bat,Chennai Super Kings,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,Chennai Super Kings
Kolkata,2015-05-04,Kolkata Knight Riders,495.0,UT Yadav,1,2015,field,Sunrisers Hyderabad,Eden Gardens,Sunrisers Hyderabad,Kolkata Knight Riders
Mumbai,2015-05-05,Mumbai Indians,496.0,Harbhajan Singh,1,2015,bat,Delhi Daredevils,Wankhede Stadium,Delhi Daredevils,Mumbai Indians
Bangalore,2015-05-06,Royal Challengers Bangalore,497.0,CH Gayle,1,2015,field,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,Royal Challengers Bangalore
Mumbai,2015-05-07,Rajasthan Royals,498.0,EJG Morgan,1,2015,field,Rajasthan Royals,Brabourne Stadium,Sunrisers Hyderabad,Sunrisers Hyderabad
